"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 13:36:26 EEST 2022","Wed Mar 30 13:36:30 EEST 2022","4581","","GitHub site","","GitHub site","Tpe to console log careers","Tpe to console log careers",""
"passed","Wed Mar 30 13:36:53 EEST 2022","Wed Mar 30 13:36:57 EEST 2022","4045","","GitHub site","","GitHub site","Forgor password (negative)","Forgor password (negative)",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 5","Test suite -- Task 5 / Test case 5",""
"broken","Wed Mar 30 13:38:00 EEST 2022","Wed Mar 30 13:38:03 EEST 2022","3551","","GitHub site","","GitHub site","Eplore - topics","Eplore - topics",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 2","Test suite -- Task 5 / Test case 2",""
"passed","Wed Mar 30 13:36:33 EEST 2022","Wed Mar 30 13:36:43 EEST 2022","9543","","GitHub site","","GitHub site","Enterpriese cloud/server","Enterpriese cloud/server",""
"passed","Wed Mar 30 13:36:07 EEST 2022","Wed Mar 30 13:36:16 EEST 2022","8952","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (negative)","Registration (sign up, body) on GitHub (negative)",""
"broken","Wed Mar 30 13:37:41 EEST 2022","Wed Mar 30 13:37:45 EEST 2022","3743","","GitHub site","","GitHub site","Pricing plans","Pricing plans",""
"passed","Wed Mar 30 13:35:45 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","9045","","webdriver.io page","","webdriver.io page","API -> Search -- Task 1","API -> Search -- Task 1",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","API -> Docs -- Task 2","API -> Docs -- Task 2",""
"passed","Wed Mar 30 13:35:38 EEST 2022","Wed Mar 30 13:35:42 EEST 2022","3681","","addValue method Test","","addValue method Test","addValue test","addValue test",""
"passed","Wed Mar 30 13:37:10 EEST 2022","Wed Mar 30 13:37:30 EEST 2022","19814","","GitHub site","","GitHub site","Registration (sign up, header) on GitHub","Registration (sign up, header) on GitHub",""
"passed","Wed Mar 30 13:37:33 EEST 2022","Wed Mar 30 13:37:39 EEST 2022","5423","","GitHub site","","GitHub site","Sign in on GitHub","Sign in on GitHub",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 4","Test suite -- Task 5 / Test case 4",""
"passed","Wed Mar 30 13:36:16 EEST 2022","Wed Mar 30 13:36:22 EEST 2022","6065","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (positive)","Registration (sign up, body) on GitHub (positive)",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 3","Test suite -- Task 5 / Test case 3",""
"passed","Wed Mar 30 13:37:49 EEST 2022","Wed Mar 30 13:37:57 EEST 2022","7858","","GitHub site","","GitHub site","Search field","Search field",""
"passed","Wed Mar 30 13:36:46 EEST 2022","Wed Mar 30 13:36:53 EEST 2022","6806","","GitHub site","","GitHub site","Forgor password (positive)","Forgor password (positive)",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 1","Test suite -- Task 5 / Test case 1",""
"skipped","Wed Mar 30 13:35:54 EEST 2022","Wed Mar 30 13:35:54 EEST 2022","0","","webdriver.io page","","webdriver.io page","PageObjects -- Task 8-9","PageObjects -- Task 8-9",""
